ID,mag_name,link_to_assembly,AB_batch,eha_number,GTDB_version,GTDB_release,domain,phylum,class,order,family,genus,species,fastani_ani,closest_placement_ani,closest_placement_af,completeness,contamination,size,GC,N50,coding_density,contigs,number_genes,number_unannotated_genes,DM_batch,host_species,host_order,host_class,locality,country,MAG_url,anno_url,kegg_url,annotated,taxonomy_level,assembly_type,sample_type,gbk_url,kegg_hits,Capture ID,percent_unannotated_genes,percent_unannotated_kegg,dereplicated,metagenomic source,completeness software,binning software,assembly quality,binning parameters,taxonomic identity marker, isolation_source, assembly software,Submission
EHM062502,EHA03755_bin.164.fa,EHA03755,ABB0431,EHA03755,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,97.79,97.79,0.80,86.87,1.20,4239410,46.00%,36224,0.91,220,3536,637,"DMB0158,DMB0162,DMB0187",Podarcis milensis,Squamata,Reptilia,Polyaigos,Greece,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0431/EHA03755_bin.164.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM062502_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM062502_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM062502.gbk.gz,1559,"SD0433801, SD0434401, SD0435601, SD0433701, SD0433601, SD0435501, SD0435701, SD0434101, SD0435101, SD0436001, SD0433501, SD0435801, SD0436101, SD0434801, SD0434701, SD0434301, SD0435401, SD0435001, SD0433901, SD0434501, SD0434601, SD0435901, SD0435201, SD0434901, SD0434201, SD0435301",18.0,55.9,"DMB0158,DMB0162",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM063724,EHA03781_bin.423.fa,EHA03781,ABB0432,EHA03781,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,97.73,97.73,0.82,75.90,1.87,3304082,47.00%,12924,0.90,391,2680,495,"DMB0161,DMB0162,DMB0187",Podarcis pityusensis,Squamata,Reptilia,Escull Vermell,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0432/EHA03781_bin.423.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM063724_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM063724_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM063724.gbk.gz,1191,"SD0437901, SD0104101, SD0438301, SD0100901, SD0223301, SD0105001, SD0438401, SD0222601, SD0224601, SD0438801, SD0105401, SD0104701, SD0438701, SD0100601, SD0100701, SD0104601, SD0105501, SD0105301, SD0101901, SD0104801, SD0103901, SD0105201, SD0437101, SD0437701, SD0224501, SD0437801, SD0222801, SD0437501, SD0438501, SD0437601, SD0223201, SD0102601, SD0223801, SD0223101, SD0222901, SD0438201, SD0438101, SD0437201, SD0105101, SD0223901, SD0224401, SD0100801, SD0223701",18.5,55.6,"DMB0161,DMB0162",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM064827,EHA04569_bin.24.fa,EHA04569,ABB0514,EHA04569,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,97.02,97.02,0.82,75.82,0.24,3181868,48.00%,28374,0.91,159,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04569_bin.24.fa.gz,,,false,Species,Individual,Colon contents,,,SD0454001,,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM064839,EHA04577_bin.11.fa,EHA04577,ABB0514,EHA04577,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,96.76,96.76,0.78,90.56,0.51,4058721,46.00%,67256,0.91,92,3309,591,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04577_bin.11.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM064839_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM064839_kegg.tsv.gz,true,Species,Individual,Colon contents,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM064839.gbk.gz,1542,SD0453101,17.9,53.4,DMB0165,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM064885,EHA04575_bin.7.fa,EHA04575,ABB0514,EHA04575,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,97.95,97.95,0.82,96.06,0.60,4121554,47.00%,76744,0.91,86,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04575_bin.7.fa.gz,,,false,Species,Individual,Colon contents,,,SD0453901,,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM064907,EHA04570_bin.27.fa,EHA04570,ABB0514,EHA04570,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,98.46,98.46,0.82,96.72,3.61,4515395,47.00%,43144,0.91,224,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04570_bin.27.fa.gz,,,false,Species,Individual,Colon contents,,,SD0453501,,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM065000,EHA04573_bin.19.fa,EHA04573,ABB0514,EHA04573,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,98.71,98.71,0.87,76.48,1.32,3073711,48.00%,12459,0.91,348,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04573_bin.19.fa.gz,,,false,Species,Individual,Colon contents,,,SD0454101,,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM065017,EHA04584_bin.16.fa,EHA04584,ABB0514,EHA04584,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,96.52,96.52,0.71,59.73,4.31,2820299,49.00%,9367,0.91,399,2382,494,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04584_bin.16.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM065017_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM065017_kegg.tsv.gz,true,Species,Individual,Colon contents,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM065017.gbk.gz,960,SD0453601,20.7,59.7,DMB0165,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM065153,EHA04572_bin.26.fa,EHA04572,ABB0514,EHA04572,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,97.80,97.80,0.80,99.79,0.86,4321311,47.00%,90074,0.91,84,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04572_bin.26.fa.gz,,,false,Species,Individual,Colon contents,,,SD0453301,,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM065229,EHA04583_bin.14.fa,EHA04583,ABB0514,EHA04583,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,96.65,96.65,0.69,91.84,6.30,4581880,46.00%,63690,0.91,118,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04583_bin.14.fa.gz,,,false,Species,Individual,Colon contents,,,SD0453801,,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM065460,EHA04582_bin.19.fa,EHA04582,ABB0514,EHA04582,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,96.82,96.82,0.75,99.94,2.77,4535899,46.00%,78653,0.91,84,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0514/EHA04582_bin.19.fa.gz,,,false,Species,Individual,Colon contents,,,SD0454201,,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM066158,EHA04657_bin.24.fa,EHA04657,ABB0517,EHA04657,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,97.63,93.81,0.77,63.16,2.26,2848041,47.00%,3717,0.91,828,2087,0,"DMB0167,DMB0182",Trichosurus vulpecula,Diprotodontia,Mammalia,"Dip River, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0517/EHA04657_bin.24.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066158_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066158_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066158.gbk.gz,761,SD0467701,,63.5,DMB0182,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM067539,EHA04588_bin.130.fa,EHA04588,ABB0515,EHA04588,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,97.04,97.04,0.80,100.00,8.03,3781648,47.00%,11487,0.91,494,,,DMB0165,Lepus europaeus,Lagomorpha,Mammalia,Gipuzkoa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0515/EHA04588_bin.130.fa.gz,,,false,Species,Coassembly,Colon contents,,,"SD0453201, SD0453801, SD0454001, SD0453501, SD0453701, SD0453301, SD0454101, SD0453201, SD0453901, SD0453501, SD0453101, SD0453301, SD0453901, SD0454101, SD0453401, SD0454201, SD0453801, SD0453601, SD0453701, SD0453101, SD0454301",,,,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM068016,EHA04768_bin.27.fa,EHA04768,ABB0569,EHA04768,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,98.38,98.38,0.94,78.79,1.22,2959231,48.00%,12678,0.92,316,2526,378,DMB0167,Trichosurus vulpecula,Diprotodontia,Mammalia,"Dip River, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0569/EHA04768_bin.27.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068016_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068016_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068016.gbk.gz,1206,"SD0467001, SD0466901, SD0467201, SD0467701",15.0,52.3,DMB0167,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM073508,EHA05094_bin.143.fa,EHA05094,ABB0603,EHA05094,2.3.0,,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,98.57,98.57,0.89,88.27,5.52,3355876,47.00%,13056,0.91,391,2899,490,DMB0173,Sciurus vulgaris,Rodentia,Mammalia,"Lombardy, Calusco",Italy,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0603/EHA05094_bin.143.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073508_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073508_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM073508.gbk.gz,1351,"SD0044604, SD0170402, SD0178901, SD0172601, SD0046603, SD0172501, SD0179101, SD0031202, SD0179001, SD0040203, SD0170303, SD0170903, SD0029703, SD0040202, SD0029801, SD0029804, SD0171202",16.9,53.4,DMB0173,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM078818,EHA05377_bin.67.fa,EHA05377,ABB0614,EHA05377,2.3.0,,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,98.20,98.20,0.84,65.16,1.66,1641113,43.00%,2771,0.90,589,,,,Lasiorhinus latifrons,Diprotodontia,Mammalia,South Australia,Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0614/EHA05377_bin.67.fa.gz,,,false,Species,Individual,Faecal,,,SD0291801,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM081705,EHA05586_bin.118.fa,EHA05586,ABB0625,EHA05586,2.3.0,,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,96.11,0.00,0.00,86.86,2.01,3825769,47.00%,38404,0.91,161,,,,Timon lepidus,Squamata,Reptilia,Arouca,Portugal,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0625/EHA05586_bin.118.fa.gz,,,false,Species,Coassembly,Faecal,,,"SD0256701, SD0258901, SD0249601, SD0249901, SD0254001, SD0258601, SD0257101, SD0250801, SD0256101, SD0255901, SD0351301, SD0363001, SD0358001, SD0359401, SD0362401, SD0359301, SD0361301, SD0355401, SD0360101, SD0357201, SD0351801, SD0358201, SD0353501, SD0354701",,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM082228,EHA05489_bin.14.fa,EHA05489,ABB0620,EHA05489,2.3.0,,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,95.92,0.00,0.00,94.58,0.23,4098195,47.00%,117741,0.91,60,,,,Timon lepidus,Squamata,Reptilia,Arouca,Portugal,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0620/EHA05489_bin.14.fa.gz,,,false,Species,Individual,Faecal,,,SD0363001,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM083355,EHA05391_bin.43.fa,EHA05391,ABB0615,EHA05391,2.3.0,,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,98.18,98.18,0.85,72.46,0.39,1428870,58.00%,25157,0.88,113,3437,0,DMB0178,Lasiorhinus latifrons,Diprotodontia,Mammalia,South Australia,Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0615/EHA05391_bin.43.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM083355_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM083355_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM083355.gbk.gz,1594,"SD0293101, SD0291901, SD0293001, SD0292001, SD0291501, SD0293601, SD0293301, SD0292801, SD0291901, SD0293101, SD0291901, SD0293001, SD0292001, SD0291501, SD0293601, SD0293301, SD0292801, SD0291801, SD0291301, SD0291401, SD0291201, SD0292201, SD0291601, SD0291701",,53.6,DMB0178,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM043310,EHA02878_bin.20.fa,EHA02878,ABB0342,EHA02878,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,97.16,97.16,0.85,70.13,6.15,3744170,42.00%,4391,0.91,979,,,,Podarcis muralis,Squamata,Reptilia,Albano Laziale,Italy,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0342/EHA02878_bin.20.fa.gz,,,false,Species,Coassembly,Faecal,,,"SD0224901, SD0226101, SD0228301, SD0225001",,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM046485,EHA03161_bin.75.fa,EHA03161,ABB0384,EHA03161,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,98.78,98.78,0.92,83.64,4.74,4479036,42.00%,10985,0.90,582,3685,741,DMB0117,Cathartes aura,Accipitriformes,Aves,"Florida, Lake Butler",United States,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0384/EHA03161_bin.75.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046485_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046485_kegg.tsv.gz,true,Species,Coassembly,Colon contents,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046485.gbk.gz,1472,"SD0294501, SD0294501, SD0294701, SD0294701, SD0294801, SD0294801, SD0295001, SD0295001, SD0295101, SD0295101, SD0295201, SD0295201, SD0295301, SD0295801, SD0295901, SD0296101, SD0296201, SD0296701, SD0296701, SD0297601, SD0297601, SD0297701, SD0297701, SD0297801, SD0297801, SD0297901, SD0298001, SD0298101",20.1,60.1,DMB0117,,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM046636,EHA03296_bin.22.fa,EHA03296,ABB0381,EHA03296,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,97.21,97.21,0.75,81.66,2.40,4476226,42.00%,14779,0.90,410,,,"DMB0118,DMB0165",Lepus europaeus,Lagomorpha,Mammalia,Nafarroa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03296_bin.22.fa.gz,,,false,Species,Individual,Faecal,,,SD0420802,,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM046656,EHA03285_bin.15.fa,EHA03285,ABB0381,EHA03285,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,97.61,97.61,0.89,68.82,0.64,3363562,42.00%,8716,0.90,428,2900,536,"DMB0118,DMB0165",Lepus europaeus,Lagomorpha,Mammalia,Nafarroa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03285_bin.15.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046656_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046656_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046656.gbk.gz,1269,SD0420201,18.5,56.2,"DMB0118,DMB0165",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM046820,EHA03284_bin.37.fa,EHA03284,ABB0381,EHA03284,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,95.17,90.55,0.42,50.02,1.84,3074582,42.00%,8130,0.90,402,2705,627,"DMB0118,DMB0165",Lepus europaeus,Lagomorpha,Mammalia,Nafarroa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03284_bin.37.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046820_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046820_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046820.gbk.gz,987,SD0420102,23.2,63.5,"DMB0118,DMB0165",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM046821,EHA03284_bin.39.fa,EHA03284,ABB0381,EHA03284,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,96.04,96.04,0.66,52.07,4.44,3121064,43.00%,2804,0.91,1153,1872,467,"DMB0118,DMB0165",Lepus europaeus,Lagomorpha,Mammalia,Nafarroa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03284_bin.39.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046821_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046821_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046821.gbk.gz,612,SD0420102,24.9,67.3,"DMB0118,DMB0165",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
EHM046891,EHA03297_bin.33.fa,EHA03297,ABB0381,EHA03297,2.3.0,R214,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,96.91,96.91,0.78,74.26,1.41,3951010,42.00%,43049,0.90,134,3098,575,"DMB0118,DMB0165",Lepus europaeus,Lagomorpha,Mammalia,Nafarroa,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03297_bin.33.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046891_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046891_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046891.gbk.gz,1399,SD0420402,18.6,54.8,DMB0118,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,EHS006
