representative_RGP	nb_spots	mod_list	RGP_list
EHA00531_bin.1^_108_RGP_0	1	module_34	EHA00531_bin.1^_108_RGP_0,EHA03390_bin.20^_51_RGP_0,EHA04680_bin.8^_82_RGP_0,EHA04696_bin.132^_16_RGP_0,EHA05078_bin.42^_75_RGP_0,NAKS01000004.1_RGP_0,VSOM01000001.1_RGP_0,JALFGY010000031.1_RGP_0,JAUUMF010000006.1_RGP_0,JAUUSL010000080.1_RGP_0,JAUUSL010000033.1_RGP_0,JAUUOT010000092.1_RGP_0,JAUUOT010000198.1_RGP_0,JAUUOT010000058.1_RGP_0,CATYVK010000002.1_RGP_0,CATZCB010000003.1_RGP_0,NZ_QRXK01000016.1_RGP_0,NZ_JAJEQK010000003.1_RGP_0,NZ_CP120353.1_RGP_14
EHA00531_bin.1^_157_RGP_0	1	module_68	EHA00531_bin.1^_157_RGP_0,EHA01202_bin.66^_296_RGP_0,EHA01958_bin.190^_8_RGP_0,EHA03376_bin.12^_45_RGP_1,EHA03390_bin.20^_21_RGP_0,EHA04680_bin.8^_75_RGP_0,EHA04696_bin.132^_46_RGP_0,EHA05078_bin.42^_20_RGP_0,NAKS01000004.1_RGP_4,NAKS01000003.1_RGP_17,CATYBK010000005.1_RGP_3,CATZCB010000008.1_RGP_3,CAUAVI010000003.1_RGP_3,CAUFQX010000008.1_RGP_2,NZ_CYXP01000010.1_RGP_3,NZ_CZBM01000009.1_RGP_2,NZ_NJFM02000001.1_RGP_60,NZ_QSHF01000012.1_RGP_2,NZ_QSJN01000012.1_RGP_2,NZ_QSIV01000013.1_RGP_2,NZ_QRPA01000014.1_RGP_3,NZ_QRPY01000051.1_RGP_0,NZ_WQNY01000023.1_RGP_0
EHA00531_bin.1^_181_RGP_0	2	module_75	EHA00531_bin.1^_181_RGP_0,NANL01000001.1_RGP_0,WGVK01000031.1_RGP_0,JAUULV010000027.1_RGP_0,CAUBHL010000025.1_RGP_0,CAUCSL010000026.1_RGP_0,NZ_QRKR01000008.1_RGP_0,NZ_JABAFE010000004.1_RGP_2
EHA00531_bin.1^_188_RGP_0	1	module_80	EHA00531_bin.1^_188_RGP_0,EHA00726_bin.13^_60_RGP_0,EHA01281_bin.18^_23_RGP_1,EHA01634_bin.14^_264_RGP_0,EHA01634_bin.14^_41_RGP_0,EHA01845_bin.103^_127_RGP_0,EHA01958_bin.190^_14_RGP_0,EHA03161_bin.52^_59_RGP_0,EHA03288_bin.14^_51_RGP_1,EHA03351_bin.43^_77_RGP_1,EHA04575_bin.10^_36_RGP_0,EHA04575_bin.10^_328_RGP_0,EHA04588_bin.13^_238_RGP_0,EHA05111_bin.128^_98_RGP_0,QSEH01000024.1_RGP_1,NAMT01000006.1_RGP_5,JALFBZ010000030.1_RGP_0,JALFMD010000021.1_RGP_1,JALFYO010000048.1_RGP_0,CP107196.1_RGP_34,JAUUMF010000079.1_RGP_0,JAUULV010000214.1_RGP_0,JAUURM010000008.1_RGP_1,JAUUQX010000008.1_RGP_1,JAUUNW010000015.1_RGP_0,JAUUNC010000008.1_RGP_0,CATYBK010000028.1_RGP_3,CATZAC010000162.1_RGP_0,CATZCB010000012.1_RGP_0,CATZPJ010000152.1_RGP_0,CAUADP010000076.1_RGP_0,CAUBHL010000008.1_RGP_1,CAUCSL010000025.1_RGP_0,CAUCZP010000012.1_RGP_2,CAUFBL010000035.1_RGP_0,CAUFLA010000014.1_RGP_0,CAUFQX010000011.1_RGP_0,CAUGMZ010000036.1_RGP_1,NZ_CYYK01000001.1_RGP_4,NZ_CYXP01000002.1_RGP_8,NZ_CZBM01000005.1_RGP_1,NZ_QSQS01000004.1_RGP_3,NZ_QSVO01000004.1_RGP_3,NZ_QRXK01000002.1_RGP_3,NZ_QRYZ01000001.1_RGP_8,NZ_QSHF01000001.1_RGP_9,NZ_QSJN01000002.1_RGP_4,NZ_QSIV01000001.1_RGP_2,NZ_QSLF01000008.1_RGP_2,NZ_QSLL01000054.1_RGP_0,NZ_QRKE01000007.1_RGP_1,NZ_QRPA01000009.1_RGP_2,NZ_QRPY01000006.1_RGP_1,NZ_CP072210.1_RGP_34,NZ_CP072254.1_RGP_35,NZ_WQNY01000001.1_RGP_0,NZ_WQNZ01000081.1_RGP_1,NZ_JAASIM010000003.1_RGP_4,NZ_JAJEQK010000010.1_RGP_1,NZ_BQOC01000003.1_RGP_3,NZ_BQOD01000003.1_RGP_3,NZ_CP120353.1_RGP_42
EHA00531_bin.1^_15_RGP_0	1	module_6	EHA00531_bin.1^_15_RGP_0,EHA01958_bin.190^_53_RGP_0,EHA03306_bin.55^_193_RGP_0,EHA03376_bin.12^_36_RGP_1,NAKS01000003.1_RGP_9,VSOM01000002.1_RGP_2,JALFGY010000004.1_RGP_0,JAUUOT010000010.1_RGP_0,CATYVK010000001.1_RGP_3,CATZAC010000271.1_RGP_0,CATZCB010000011.1_RGP_2,CAUADP010000009.1_RGP_0,CAUCZP010000014.1_RGP_1,NZ_QRXK01000019.1_RGP_0,NZ_WQNY01000040.1_RGP_0,NZ_CP120353.1_RGP_53
EHA00531_bin.1^_118_RGP_0	0	module_35	EHA00531_bin.1^_118_RGP_0,DYUW01000117.1_RGP_0,JAUULV010000078.1_RGP_0,CAUFNR010000146.1_RGP_0,NZ_QSIV01000060.1_RGP_0
EHA00531_bin.1^_163_RGP_0	2	module_69	EHA00531_bin.1^_163_RGP_0,EHA00539_bin.6^_363_RGP_0,EHA00928_bin.90^_230_RGP_0,EHA01202_bin.66^_176_RGP_0,EHA02500_bin.116^_47_RGP_0,EHA03306_bin.55^_398_RGP_0,EHA03390_bin.20^_15_RGP_5,EHA04588_bin.13^_471_RGP_0,EHA04680_bin.8^_91_RGP_4,EHA04696_bin.132^_61_RGP_0,EHA05078_bin.42^_48_RGP_0,NAMT01000011.1_RGP_5,NAKS01000003.1_RGP_3,VSOM01000028.1_RGP_0,JALFGY010000015.1_RGP_2,JAUUMF010000138.1_RGP_0,JAUUOT010000041.1_RGP_0,CATYVK010000001.1_RGP_6,CATZAC010000157.1_RGP_0,CATZCB010000011.1_RGP_0,CAUCZP010000029.1_RGP_2,CAUFLA010000005.1_RGP_1,CAUFQX010000004.1_RGP_4,NZ_CYXP01000009.1_RGP_1,NZ_CZBM01000030.1_RGP_0,NZ_QRXK01000009.1_RGP_5,NZ_QSHF01000014.1_RGP_2,NZ_QSJN01000013.1_RGP_2,NZ_QSIV01000017.1_RGP_1,NZ_QRPA01000016.1_RGP_2,NZ_QRPY01000034.1_RGP_0,NZ_JAASIM010000012.1_RGP_2,NZ_JAJEQK010000033.1_RGP_1,NZ_CP120353.1_RGP_28
EHA00531_bin.1^_36_RGP_0	2	module_9	EHA00531_bin.1^_36_RGP_0,EHA01202_bin.66^_175_RGP_0,EHA02500_bin.116^_69_RGP_1,EHA03306_bin.55^_396_RGP_0,EHA03390_bin.20^_90_RGP_0,NAMT01000009.1_RGP_15,NAKS01000005.1_RGP_4,JALFGY010000040.1_RGP_0,JALFYO010000046.1_RGP_0,JAUUSL010000046.1_RGP_0,JAUUOT010000188.1_RGP_0,CATYVK010000006.1_RGP_1,CATZCB010000033.1_RGP_0,CAUCSL010000004.1_RGP_1,CAUFBL010000030.1_RGP_1,CAUFLA010000049.1_RGP_0,CAUFQX010000026.1_RGP_1,NZ_CZBM01000013.1_RGP_2,NZ_QRXK01000008.1_RGP_1,NZ_QSHF01000002.1_RGP_5,NZ_QSJN01000003.1_RGP_2,NZ_QSIV01000003.1_RGP_2,NZ_QSLL01000026.1_RGP_0,NZ_QRPA01000011.1_RGP_2,NZ_QRPY01000002.1_RGP_4,NZ_JAJEQK010000009.1_RGP_2,NZ_CP120353.1_RGP_61
EHA00531_bin.1^_186_RGP_0	1	module_78,module_79	EHA00531_bin.1^_186_RGP_0,JALFGY010000037.1_RGP_0,JALFYO010000013.1_RGP_0,JAUUMF010000120.1_RGP_0,JAUUOT010000156.1_RGP_0,CATZCB010000010.1_RGP_0,CAUFBL010000022.1_RGP_0,CAUFLA010000004.1_RGP_0,NZ_CYXP01000012.1_RGP_0,NZ_QRXK01000017.1_RGP_0,NZ_QRPA01000015.1_RGP_0,NZ_JAJEQK010000031.1_RGP_0,NZ_CP120353.1_RGP_9
EHA00531_bin.1^_194_RGP_0	1	module_82	EHA00531_bin.1^_194_RGP_0,EHA00535_bin.6^_73_RGP_0,EHA01281_bin.18^_101_RGP_0,EHA01845_bin.103^_71_RGP_0,EHA03161_bin.52^_148_RGP_0,EHA03349_bin.40^_5_RGP_0,EHA03376_bin.12^_41_RGP_1,EHA03390_bin.20^_89_RGP_1,EHA05111_bin.128^_35_RGP_0,NAMT01000002.1_RGP_10,VSOM01000009.1_RGP_2,CP107196.1_RGP_62,JAUUQX010000145.1_RGP_0,JAUUOT010000230.1_RGP_0,JAUUNW010000134.1_RGP_0,JAUUNC010000042.1_RGP_0,CATXLD010000004.1_RGP_1,CATYBK010000033.1_RGP_1,CATYVK010000021.1_RGP_1,CATZCB010000010.1_RGP_2,CAUFLA010000004.1_RGP_2,CAUFQX010000038.1_RGP_1,NZ_CYYK01000002.1_RGP_6,NZ_CZBM01000017.1_RGP_2,NZ_NJFM02000001.1_RGP_56,NZ_QRXK01000017.1_RGP_1,NZ_QSHF01000013.1_RGP_1,NZ_QSJN01000017.1_RGP_1,NZ_QSIV01000015.1_RGP_1,NZ_QRPY01000035.1_RGP_1,NZ_CP072210.1_RGP_66,NZ_JAASIM010000013.1_RGP_0,NZ_JAJEQK010000031.1_RGP_1,NZ_CP120353.1_RGP_68
EHA00531_bin.1^_182_RGP_0	0	module_76	EHA00531_bin.1^_182_RGP_0,EHA01958_bin.190^_87_RGP_0,JALFGY010000009.1_RGP_0,JALFYO010000036.1_RGP_0,JAUUMF010000291.1_RGP_0,JAUUOT010000035.1_RGP_0,CAUFLA010000035.1_RGP_0,CAUFQX010000030.1_RGP_0,NZ_QRXK01000001.1_RGP_4,NZ_QRPA01000024.1_RGP_0,NZ_JAJEQK010000037.1_RGP_0
EHA00531_bin.1^_72_RGP_0	1	module_23	EHA00531_bin.1^_72_RGP_0,EHA03376_bin.12^_49_RGP_0,JAUUMF010000020.1_RGP_0,JAUUOT010000216.1_RGP_0,CATYVK010000004.1_RGP_0,CATZCB010000017.1_RGP_0,CAUADP010000070.1_RGP_0,CAUCSL010000009.1_RGP_2,NZ_QSLL01000020.1_RGP_0
EHA00531_bin.1^_74_RGP_0	0	module_24	EHA00531_bin.1^_74_RGP_0,JAUUOT010000039.1_RGP_0
EHA00531_bin.1^_104_RGP_0	0	module_31,module_32	EHA00531_bin.1^_104_RGP_0
EHA00531_bin.1^_45_RGP_0	1	module_14	EHA00531_bin.1^_45_RGP_0,CATYVK010000002.1_RGP_2,CATZCB010000025.1_RGP_0
EHA00531_bin.1^_140_RGP_0	0	module_57,module_58	EHA00531_bin.1^_140_RGP_0,QSEH01000042.1_RGP_0,CAUAVI010000045.1_RGP_0
EHA00531_bin.1^_147_RGP_0	1	module_67	EHA00531_bin.1^_147_RGP_0,EHA01634_bin.14^_333_RGP_0,EHA01845_bin.103^_15_RGP_1,EHA03161_bin.52^_166_RGP_0,EHA05111_bin.128^_137_RGP_0,VSOM01000001.1_RGP_1,WGVK01000020.1_RGP_0,JALFBZ010000041.1_RGP_0,JAUULV010000051.1_RGP_0,JAUURM010000012.1_RGP_1,JAUUNC010000005.1_RGP_1,CAUADP010000003.1_RGP_0,CAUCSL010000015.1_RGP_0,CAUFNR010000158.1_RGP_0,CAUGMZ010000015.1_RGP_1,CAUHJC010000008.1_RGP_1,NZ_QSVO01000003.1_RGP_3,NZ_QRYZ01000003.1_RGP_2,NZ_QSHF01000004.1_RGP_3,NZ_QSIP01000003.1_RGP_3,NZ_QSJN01000005.1_RGP_3,NZ_QSIV01000006.1_RGP_2,NZ_QSLF01000005.1_RGP_3,NZ_QSLL01000017.1_RGP_0,NZ_QRKR01000004.1_RGP_2,NZ_QRPY01000003.1_RGP_2,NZ_CP072231.1_RGP_63,NZ_CP072254.1_RGP_66,NZ_JAASIM010000005.1_RGP_1,NZ_BQOC01000005.1_RGP_1
EHA00531_bin.1^_212_RGP_0	0	module_88	EHA00531_bin.1^_212_RGP_0,EHA01202_bin.66^_278_RGP_0,JAUUMF010000166.1_RGP_0,CAUFNR010000005.1_RGP_0
EHA00535_bin.6^_42_RGP_0	3	module_91	EHA00535_bin.6^_42_RGP_0,EHA00726_bin.13^_66_RGP_1,EHA01281_bin.18^_96_RGP_0,EHA01634_bin.14^_343_RGP_0,EHA01958_bin.190^_22_RGP_0,EHA03161_bin.52^_139_RGP_0,EHA03288_bin.14^_86_RGP_0,EHA03351_bin.43^_41_RGP_0,EHA03376_bin.12^_36_RGP_0,EHA04575_bin.10^_46_RGP_0,QSEH01000007.1_RGP_1,NANL01000007.1_RGP_3,JALFBZ010000020.1_RGP_0,JALFMD010000037.1_RGP_1,CP107196.1_RGP_30,JAUULV010000045.1_RGP_0,JAUURM010000003.1_RGP_1,JAUUQX010000021.1_RGP_0,JAUUNW010000053.1_RGP_0,JAUUNC010000001.1_RGP_3,CAUAVI010000002.1_RGP_0,CAUBHL010000010.1_RGP_0,NZ_CYYK01000009.1_RGP_1,NZ_NJFM02000001.1_RGP_23,NZ_QSQS01000005.1_RGP_2,NZ_QSVO01000006.1_RGP_1,NZ_QRYZ01000008.1_RGP_1,NZ_QSIP01000008.1_RGP_1,NZ_QSLF01000006.1_RGP_1,NZ_QRKE01000006.1_RGP_1,NZ_QRKR01000006.1_RGP_1,NZ_CP072210.1_RGP_30,NZ_CP072254.1_RGP_37,NZ_WQNY01000033.1_RGP_0,NZ_WQNZ01000159.1_RGP_2,NZ_BQOC01000006.1_RGP_0,NZ_BQOD01000005.1_RGP_1
EHA00535_bin.6^_57_RGP_0	1	module_94	EHA00535_bin.6^_57_RGP_0,EHA03349_bin.40^_225_RGP_0,NAKS01000005.1_RGP_2,VSOM01000015.1_RGP_0,JALFGY010000033.1_RGP_0,JALFYO010000049.1_RGP_1,CAUFBL010000005.1_RGP_1,NZ_CZBM01000013.1_RGP_0,NZ_QRXK01000018.1_RGP_1,NZ_JAJEQK010000016.1_RGP_0,NZ_CP120353.1_RGP_50
EHA00535_bin.6^_115_RGP_0	0	module_98	EHA00535_bin.6^_115_RGP_0
EHA00535_bin.6^_202_RGP_0	1	module_101	EHA00535_bin.6^_202_RGP_0,EHA00539_bin.6^_336_RGP_0,WGVK01000010.1_RGP_2,CAUGMZ010000007.1_RGP_3,NZ_CP072231.1_RGP_55
EHA00535_bin.6^_608_RGP_0	1	module_102	EHA00535_bin.6^_608_RGP_0,EHA03390_bin.20^_15_RGP_3,EHA04680_bin.8^_91_RGP_5,EHA04696_bin.132^_4_RGP_1,EHA05078_bin.42^_1_RGP_1,VSOM01000039.1_RGP_1,NZ_CZBM01000012.1_RGP_3
EHA00535_bin.6^_284_RGP_0	1	module_106	EHA00535_bin.6^_284_RGP_0,EHA04680_bin.8^_14_RGP_2,EHA04696_bin.132^_71_RGP_0,EHA05078_bin.42^_30_RGP_0,VSOM01000035.1_RGP_0,NZ_CZBM01000013.1_RGP_3
EHA00535_bin.6^_398_RGP_0	1	module_112	EHA00535_bin.6^_398_RGP_0,EHA00539_bin.6^_384_RGP_0,EHA00726_bin.13^_4_RGP_0,EHA01202_bin.66^_331_RGP_0,EHA01634_bin.14^_42_RGP_0,EHA01958_bin.190^_58_RGP_0,EHA03161_bin.52^_12_RGP_0,EHA03288_bin.14^_52_RGP_0,EHA04588_bin.13^_19_RGP_0,QSEH01000046.1_RGP_0,QSEH01000033.1_RGP_1,NANL01000019.1_RGP_4,NAKS01000002.1_RGP_8,DYUW01000120.1_RGP_0,JALFBZ010000050.1_RGP_1,JALFMD010000015.1_RGP_1,JALFGY010000010.1_RGP_1,JALFYO010000055.1_RGP_2,JAUULV010000040.1_RGP_0,JAUUSL010000072.1_RGP_0,JAUURM010000007.1_RGP_2,JAUUNC010000014.1_RGP_1,CATYVK010000004.1_RGP_1,CAUBHL010000015.1_RGP_1,CAUCZP010000013.1_RGP_1,CAUFBL010000045.1_RGP_0,CAUFLA010000040.1_RGP_0,CAUFLA010000057.1_RGP_0,CAUFQX010000017.1_RGP_1,CAUHJC010000001.1_RGP_2,NZ_CYXP01000001.1_RGP_5,NZ_NJFM02000001.1_RGP_19,NZ_NJFM02000005.1_RGP_0,NZ_QSQS01000016.1_RGP_1,NZ_QSVO01000017.1_RGP_1,NZ_QRXK01000001.1_RGP_1,NZ_QRYZ01000014.1_RGP_1,NZ_QSIP01000002.1_RGP_3,NZ_QSLF01000012.1_RGP_2,NZ_QSLL01000198.1_RGP_0,NZ_QSLL01000175.1_RGP_0,NZ_QRKE01000018.1_RGP_1,NZ_QRKR01000014.1_RGP_1,NZ_QRPA01000003.1_RGP_3,NZ_CP072254.1_RGP_24,NZ_WQNY01000069.1_RGP_1,NZ_WQNZ01000026.1_RGP_0,NZ_JAASIM010000007.1_RGP_1,NZ_BQOC01000001.1_RGP_16,NZ_BQOD01000001.1_RGP_16,NZ_CP120353.1_RGP_29
EHA00535_bin.6^_239_RGP_0	1	module_103	EHA00535_bin.6^_239_RGP_0,EHA00539_bin.6^_640_RGP_0,EHA00726_bin.13^_53_RGP_0,EHA01281_bin.18^_33_RGP_0,EHA01634_bin.14^_469_RGP_0,EHA01845_bin.103^_15_RGP_0,EHA01958_bin.190^_194_RGP_0,EHA03161_bin.52^_140_RGP_0,EHA03288_bin.14^_91_RGP_0,EHA03306_bin.55^_309_RGP_0,EHA03349_bin.40^_238_RGP_0,EHA03351_bin.43^_81_RGP_0,EHA03390_bin.20^_102_RGP_0,EHA04575_bin.10^_150_RGP_0,EHA05111_bin.128^_36_RGP_0,QSEH01000005.1_RGP_0,NANL01000009.1_RGP_2,NAMT01000007.1_RGP_1,NAKS01000004.1_RGP_2,DYUW01000115.1_RGP_0,JALFBZ010000038.1_RGP_0,JALFMD010000011.1_RGP_0,JALFGY010000022.1_RGP_1,JALFYO010000014.1_RGP_0,CP107196.1_RGP_38,JAUULV010000049.1_RGP_0,JAUURM010000012.1_RGP_0,JAUUQX010000087.1_RGP_0,JAUUNW010000161.1_RGP_0,JAUUNC010000041.1_RGP_0,CATYBK010000016.1_RGP_0,CATZPJ010000165.1_RGP_0,CAUADP010000032.1_RGP_0,CAUAVI010000029.1_RGP_0,CAUBHL010000045.1_RGP_0,CAUCSL010000010.1_RGP_0,CAUCZP010000001.1_RGP_1,CAUFBL010000048.1_RGP_0,CAUFLA010000003.1_RGP_0,CAUFQX010000001.1_RGP_2,CAUHJC010000007.1_RGP_0,NZ_CYYK01000004.1_RGP_0,NZ_CZBM01000003.1_RGP_1,NZ_NJFM02000001.1_RGP_41,NZ_QSQS01000010.1_RGP_1,NZ_QSVO01000003.1_RGP_1,NZ_QRXK01000010.1_RGP_1,NZ_QRYZ01000003.1_RGP_0,NZ_QSHF01000004.1_RGP_0,NZ_QSIP01000003.1_RGP_1,NZ_QSJN01000005.1_RGP_0,NZ_QSIV01000009.1_RGP_0,NZ_QSLF01000005.1_RGP_0,NZ_QSLL01000057.1_RGP_0,NZ_QRKE01000009.1_RGP_0,NZ_QRKR01000004.1_RGP_0,NZ_QRPA01000010.1_RGP_0,NZ_QRPY01000003.1_RGP_0,NZ_JABAFE010000005.1_RGP_1,NZ_CP072210.1_RGP_38,NZ_CP072254.1_RGP_43,NZ_WQNY01000028.1_RGP_2,NZ_WQNZ01000008.1_RGP_0,NZ_JAASIM010000005.1_RGP_0,NZ_JAJEQK010000042.1_RGP_0,NZ_BQOC01000005.1_RGP_0,NZ_BQOD01000006.1_RGP_0,NZ_CP120353.1_RGP_54
EHA00535_bin.6^_338_RGP_0	1	module_110,module_93	EHA00535_bin.6^_338_RGP_0,NZ_JABAFE010000004.1_RGP_1
EHA00535_bin.6^_592_RGP_0	1	module_118	EHA00535_bin.6^_592_RGP_0,EHA01439_bin.44^_138_RGP_0,EHA03376_bin.12^_23_RGP_0
EHA00535_bin.6^_44_RGP_0	1	module_92	EHA00535_bin.6^_44_RGP_0,EHA00539_bin.6^_372_RGP_0,EHA00539_bin.6^_525_RGP_0,EHA03288_bin.14^_50_RGP_0,CATYBK010000036.1_RGP_0,CATYVK010000013.1_RGP_0,NZ_QSLL01000202.1_RGP_0
EHA00535_bin.6^_88_RGP_0	1	module_96	EHA00535_bin.6^_88_RGP_0,EHA00539_bin.6^_101_RGP_0,CATXLD010000047.1_RGP_0,NZ_NJFM02000001.1_RGP_7,NZ_QSHF01000001.1_RGP_3,NZ_QSJN01000004.1_RGP_2,NZ_QSIV01000008.1_RGP_0,NZ_QRPY01000014.1_RGP_0
EHA00535_bin.6^_242_RGP_0	0	module_104	EHA00535_bin.6^_242_RGP_0,EHA01845_bin.103^_93_RGP_0
EHA00535_bin.6^_314_RGP_0	0	module_108	EHA00535_bin.6^_314_RGP_0,CATYVK010000044.1_RGP_0
EHA00535_bin.6^_325_RGP_0	0	module_109	EHA00535_bin.6^_325_RGP_0
EHA00535_bin.6^_311_RGP_0	0	module_107	EHA00535_bin.6^_311_RGP_0
EHA00535_bin.6^_178_RGP_1	1	module_100	EHA00535_bin.6^_178_RGP_1,EHA00539_bin.6^_574_RGP_0,EHA03390_bin.20^_101_RGP_2,EHA04680_bin.8^_6_RGP_2,EHA04696_bin.132^_36_RGP_2,EHA05078_bin.42^_12_RGP_2,JAUUMF010000132.1_RGP_0,CATXLD010000018.1_RGP_3,CAUCSL010000006.1_RGP_3,CAUFLA010000023.1_RGP_1,CAUFQX010000007.1_RGP_1,NZ_QSHF01000001.1_RGP_16,NZ_QSJN01000002.1_RGP_9,NZ_QSIV01000030.1_RGP_1,NZ_QSLL01000089.1_RGP_0,NZ_QRPA01000002.1_RGP_5,NZ_QRPY01000001.1_RGP_6,NZ_CP120353.1_RGP_70
EHA00535_bin.6^_169_RGP_0	0	module_69,module_99	EHA00535_bin.6^_169_RGP_0,EHA03376_bin.12^_29_RGP_0
EHA00535_bin.6^_194_RGP_0	0	module_37	EHA00535_bin.6^_194_RGP_0
EHA00535_bin.6^_33_RGP_0	1	module_90	EHA00535_bin.6^_33_RGP_0,EHA02500_bin.116^_9_RGP_0,EHA04680_bin.8^_4_RGP_4,EHA04696_bin.132^_94_RGP_1,EHA05078_bin.42^_92_RGP_1,NAMT01000009.1_RGP_18,VSOM01000033.1_RGP_3
EHA00535_bin.6^_522_RGP_0	0	module_116	EHA00535_bin.6^_522_RGP_0
EHA00539_bin.6^_330_RGP_0	1	module_139	EHA00539_bin.6^_330_RGP_0,EHA00928_bin.90^_583_RGP_0,EHA01281_bin.18^_73_RGP_0,EHA03161_bin.52^_149_RGP_0,DYUW01000083.1_RGP_0,JAUUSL010000023.1_RGP_0,CATZPJ010000132.1_RGP_0,CAUHJC010000011.1_RGP_0,NZ_QSHF01000009.1_RGP_0,NZ_QSJN01000009.1_RGP_0,NZ_QSIV01000005.1_RGP_0,NZ_QRPY01000022.1_RGP_1
EHA00539_bin.6^_473_RGP_0	1	module_140	EHA00539_bin.6^_473_RGP_0,EHA00539_bin.6^_386_RGP_0,EHA01958_bin.190^_242_RGP_0,WGVK01000001.1_RGP_0,JAUUNW010000253.1_RGP_0,CATXLD010000020.1_RGP_0,CATZPJ010000281.1_RGP_0,CAUCAE010000012.1_RGP_0,CAUFNR010000118.1_RGP_0,CAUGMZ010000001.1_RGP_1,NZ_CP072231.1_RGP_15,NZ_JAFBJB010000013.1_RGP_1,NZ_WQNY01000003.1_RGP_0
EHA00539_bin.6^_523_RGP_0	0	module_143	EHA00539_bin.6^_523_RGP_0
EHA00539_bin.6^_182_RGP_0	0	module_129,module_130	EHA00539_bin.6^_182_RGP_0
EHA00539_bin.6^_343_RGP_0	2	module_114,module_115	EHA00539_bin.6^_343_RGP_0,EHA01634_bin.14^_171_RGP_0,EHA03161_bin.52^_72_RGP_0,NAMT01000011.1_RGP_8,JALFBZ010000025.1_RGP_2,JAUUNC010000036.1_RGP_0,CATYVK010000019.1_RGP_0,NZ_JABAFE010000009.1_RGP_1
EHA00539_bin.6^_133_RGP_0	0	module_124	EHA00539_bin.6^_133_RGP_0
EHA00539_bin.6^_562_RGP_0	1	module_16	EHA00539_bin.6^_562_RGP_0,EHA03376_bin.12^_21_RGP_0,NANL01000005.1_RGP_1,WGVK01000022.1_RGP_1,JAUUSL010000253.1_RGP_0,CATXLD010000016.1_RGP_1,CATZAC010000002.1_RGP_0,CAUCAE010000046.1_RGP_0,CAUGMZ010000023.1_RGP_0,NZ_NJFM02000001.1_RGP_40,NZ_JAFBJB010000027.1_RGP_1
EHA00539_bin.6^_55_RGP_0	0	module_121,module_122	EHA00539_bin.6^_55_RGP_0
EHA00539_bin.6^_66_RGP_0	1	module_123	EHA00539_bin.6^_66_RGP_0,EHA00726_bin.13^_2_RGP_1,EHA00928_bin.90^_80_RGP_0,EHA01634_bin.14^_65_RGP_0,EHA01958_bin.190^_70_RGP_0,EHA02500_bin.116^_23_RGP_0,EHA03161_bin.52^_125_RGP_0,EHA03288_bin.14^_76_RGP_0,EHA03306_bin.55^_357_RGP_0,EHA03349_bin.40^_426_RGP_0,EHA03351_bin.43^_5_RGP_0,EHA03376_bin.12^_41_RGP_2,EHA03390_bin.20^_89_RGP_2,EHA04575_bin.10^_67_RGP_0,EHA04588_bin.13^_125_RGP_0,EHA04680_bin.8^_18_RGP_1,EHA04696_bin.132^_57_RGP_1,EHA05078_bin.42^_83_RGP_1,QSEH01000015.1_RGP_1,NANL01000008.1_RGP_3,VSOM01000009.1_RGP_1,WGVK01000017.1_RGP_1,DYUW01000069.1_RGP_1,JALFBZ010000032.1_RGP_1,JALFMD010000026.1_RGP_1,CP107196.1_RGP_63,JAUULV010000121.1_RGP_0,JAUURM010000015.1_RGP_2,JAUUQX010000034.1_RGP_0,JAUUNW010000027.1_RGP_0,JAUUNC010000010.1_RGP_1,CATXLD010000004.1_RGP_2,CATYVK010000033.1_RGP_0,CAUADP010000012.1_RGP_0,CAUAVI010000010.1_RGP_1,CAUBHL010000009.1_RGP_1,CAUCAE010000023.1_RGP_0,CAUCZP010000006.1_RGP_2,CAUFNR010000010.1_RGP_0,CAUGMZ010000016.1_RGP_1,CAUHJC010000014.1_RGP_0,NZ_CYYK01000002.1_RGP_7,NZ_CZBM01000017.1_RGP_1,NZ_NJFM02000001.1_RGP_55,NZ_QSQS01000014.1_RGP_1,NZ_QSVO01000014.1_RGP_1,NZ_QRYZ01000012.1_RGP_2,NZ_QSHF01000013.1_RGP_2,NZ_QSIP01000012.1_RGP_1,NZ_QSJN01000016.1_RGP_0,NZ_QSIV01000015.1_RGP_2,NZ_QSLF01000015.1_RGP_1,NZ_QRKE01000015.1_RGP_1,NZ_QRKR01000013.1_RGP_1,NZ_QRPY01000028.1_RGP_0,NZ_JABAFE010000012.1_RGP_2,NZ_CP072210.1_RGP_67,NZ_CP072231.1_RGP_57,NZ_CP072254.1_RGP_63,NZ_JAFBJB010000016.1_RGP_1,NZ_WQNY01000006.1_RGP_1,NZ_WQNZ01000007.1_RGP_1,NZ_JAASIM010000013.1_RGP_1,NZ_JAJEQK010000028.1_RGP_0,NZ_BQOC01000002.1_RGP_7,NZ_BQOD01000002.1_RGP_7
EHA00539_bin.6^_488_RGP_1	1	module_141	EHA00539_bin.6^_488_RGP_1,JAUUSL010000122.1_RGP_0
